Image,PSNR,SSIM
compare_001.png,23.08330726623535,0.9695909
compare_002.png,27.57105827331543,0.8944426
compare_003.png,28.220548629760742,0.9552688
compare_004.png,31.993505477905273,0.9584141
compare_005.png,29.64689064025879,0.9737208
compare_006.png,23.020397186279297,0.9714183
compare_007.png,27.459758758544922,0.90458506
compare_008.png,28.530162811279297,0.9308243
compare_009.png,27.074296951293945,0.9488171
compare_010.png,29.938213348388672,0.95168895
Average,27.653813934326173,0.9458771
