epoch,avg_loss,psnr,ssim
1,0.14167112509409588,17.594011306762695,0.7589374
2,0.09386256370279523,24.326251983642578,0.8257294
3,0.07259875633650356,18.924457550048828,0.85571986
4,0.05895097992486424,28.36409568786621,0.9354467
5,0.05362927181025346,27.2706298828125,0.8552256
6,0.04685203009181552,23.149066925048828,0.81501
7,0.04282806693679757,28.868236541748047,0.9424971
8,0.03952936939067311,24.79526710510254,0.90171796
9,0.03656495875782437,25.841123580932617,0.9547045
10,0.03566422577533457,24.96100616455078,0.9664633
11,0.034069782172640166,23.689109802246094,0.9594361
12,0.032923917952511046,26.6496639251709,0.9607437
13,0.03317725984172688,25.36470603942871,0.81458515
14,0.03201018505626255,27.195022583007812,0.8869558
15,0.031022616281277605,26.475793838500977,0.98261994
16,0.03068253274179167,28.709957122802734,0.97772247
17,0.029805115626917945,26.065628051757812,0.92671806
18,0.029459623582661153,31.21486473083496,0.98159647
19,0.029304385193520122,25.326679229736328,0.98103744
20,0.029130852445960045,28.05567741394043,0.9688082
